tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,rbversion,oid
ztf,60579.23394680023,2825233945715015001,2,2825233945715,20.094898,1,2825,1.3127265,16.406706,16.7433,0.03585973,0.0316,290.5808672,15.4575079,0.39714286,0.00398895,16.7275,0.0339,540120257.0,True,True,True,24.5.1,0.0,,13.361233,100.0,0.0021697907,t17_f5_c3,ZTF18aaxypqy
ztf,60858.37269680016,3104372695715015004,1,3104372695715,20.6834,1,3104,0.752783,18.2519,18.6752,0.197162,0.0905,290.580567,15.4577907,0.31,,18.7087,0.1053,,False,True,False,27.5.6,0.0,3.132263700715015e+18,15.100701,100.0,0.010822908,t17_f5_c3,ZTF18aaxypqy
ztf,60859.308576399926,3105308570715015030,2,3105308570715,20.5829,1,3105,0.83091,16.2411,16.1743,0.088753,0.0172,290.5805726,15.4578967,0.592857,,15.9841,0.0156,,False,True,False,27.5.6,0.0,3.132263700715015e+18,13.343948,100.0,0.0061563365,t17_f5_c3,ZTF18aaxypqy
ztf,60859.353634300176,3105353630715015025,1,3105353630715,20.682512,1,3105,1.3064901,18.315903,17.9853,0.14412327,0.0462,290.5808492,15.4574816,0.19714285,0.5200263,17.9291,0.0498,590120107.0,True,True,False,27.5.6,0.0,,15.06426,100.0,0.0072123525,t17_f5_c3,ZTF18aaxypqy
ztf,60860.40569439996,3106405695715025002,1,3106405695715,20.7481,1,3106,0.290743,17.5111,17.6791,0.1519,0.0373,290.5807461,15.4577811,0.518571,,17.6836,0.0417,,False,True,False,27.5.6,0.0,3.132263700715015e+18,15.0439,100.0,0.015655875,t17_f5_c3,ZTF18aaxypqy
ztf,60861.406944400165,3107406940715015046,1,3107406940715,20.7412,1,3107,0.52237,17.9184,17.5839,0.240931,0.0329,290.5807917,15.4576989,0.372857,,17.5754,0.0367,,False,True,False,27.5.6,0.0,3.132263700715015e+18,15.0405,0.011974981,0.017011112,t17_f5_c3,ZTF18aaxypqy
ztf,60863.28138889978,3109281380715015018,1,3109281380715,19.9949,1,3109,0.608485,17.251,17.2415,0.042537,0.0359,290.5806258,15.4578905,0.848571,,17.2321,0.043,,False,True,False,27.5.6,0.0,3.132263700715015e+18,14.977285,100.0,0.005239395,t17_f5_c3,ZTF18aaxypqy
ztf,60863.28138889978,3109281380715015021,1,3109281380715,19.9949,1,3109,0.571237,17.4856,17.2481,0.135786,0.0355,290.5807579,15.4576913,0.471429,,17.2312,0.0424,,False,True,False,27.5.6,0.0,3.132263700715015e+18,15.003589,0.0073626298,0.013805455,t17_f5_c3,ZTF18aaxypqy
ztf,60863.31046300009,3109310460715015025,2,3109310460715,20.3548,1,3109,0.638255,15.4328,15.2571,0.103457,0.0082,290.5807916,15.4576745,0.465714,,15.186,0.0083,,False,True,False,27.5.6,0.0,3.132263700715015e+18,13.2637415,100.0,0.014032536,t17_f5_c3,ZTF18aaxypqy
ztf,60865.26149309985,3111261490715015019,1,3111261490715,19.6106,1,3111,0.359411,17.2315,17.2593,0.05165,0.0486,290.5807368,15.4577645,0.75,,17.2632,0.0605,,False,True,False,27.5.6,0.0,3.132263700715015e+18,14.974864,100.0,0.006462727,t17_f5_c3,ZTF18aaxypqy
ztf,60865.26149309985,3111261490715015020,1,3111261490715,19.6106,1,3111,0.699451,17.5385,17.3817,0.144839,0.0537,290.5808226,15.4576514,0.434286,,17.3184,0.0633,,False,True,False,27.5.6,0.0,3.132263700715015e+18,15.008851,0.007805293,0.014093732,t17_f5_c3,ZTF18aaxypqy
ztf,60865.31965279998,3111319650715015022,2,3111319650715,20.1721,1,3111,0.489076,15.5911,15.2074,0.231275,0.0084,290.5807301,15.4577391,0.375714,,15.1558,0.0087,,False,True,False,27.5.6,0.0,3.132263700715015e+18,13.283907,0.023213606,0.027621765,t17_f5_c3,ZTF18aaxypqy
ztf,60865.35328700021,3111353285715015000,1,3111353285715,19.8061,1,3111,0.198699,17.0978,17.2278,0.108392,0.0438,290.5808111,15.4578153,0.587143,,17.3021,0.0578,,False,True,False,27.5.6,0.0,3.132263700715015e+18,14.993259,100.0,0.015602033,t17_f5_c3,ZTF18aaxypqy
ztf,60867.21453699982,3113214535715015005,1,3113214535715,19.3414,1,3113,0.291013,16.7919,16.8966,0.066623,0.043,290.5807976,15.4577811,0.945714,,17.0103,0.0597,,False,True,False,27.5.6,0.0,3.132263700715015e+18,14.943555,100.0,0.012141874,t17_f5_c3,ZTF18aaxypqy
ztf,60867.277951399796,3113277950715025031,2,3113277950715,19.8614,1,3113,0.401807,15.0489,14.903,0.122576,0.007,290.5807541,15.4577547,0.471429,,14.8279,0.0073,,False,True,False,27.5.6,0.0,3.143234745715015e+18,13.203007,0.017556593,0.022389706,t17_f5_c3,ZTF18aaxypqy
ztf,60867.294444399886,3113294445715015003,2,3113294445715,19.7206,1,3113,0.338813,14.7935,14.9254,0.009516,0.0077,290.5808287,15.4577845,0.621429,,14.9071,0.0085,,False,True,False,27.5.6,0.0,3.143234745715015e+18,13.1571,100.0,0.0021081145,t17_f5_c3,ZTF18aaxypqy
ztf,60867.34194440022,3113341940715015013,1,3113341940715,19.5214,1,3113,0.456382,17.2178,17.0097,0.159268,0.0411,290.5807128,15.4577479,0.56,,17.0149,0.0515,,False,True,False,27.5.6,0.0,3.143234745715015e+18,14.973141,0.016645113,0.020149522,t17_f5_c3,ZTF18aaxypqy
